sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
000681a060c04755a1537cf83b53ba57,0,21760,-0.02590540,1,6
000681a060c04755a1537cf83b53ba57,1,740,0.01971055,0,0
007c057cac8b490fa8b67e72e630b18a,0,21301,-0.02704327,1,6
007c057cac8b490fa8b67e72e630b18a,1,1199,-0.07802511,6,6
00bb84f140c943059a9a1e8e372ddabe,0,21607,-0.02250197,1,6
00bb84f140c943059a9a1e8e372ddabe,1,893,-0.06650599,6,0
00e20f5229844d2d9d7d2889ec5f853c,0,22053,-0.04637681,1,5
00e20f5229844d2d9d7d2889ec5f853c,1,447,0.02915774,4,5
00eb7ba565d744e197dc7e8e2067be52,0,22500,-0.03377990,1,6
01076466d815421c857d2c8cf8034488,0,19136,-0.06687834,1,5
01076466d815421c857d2c8cf8034488,1,3364,-0.07379518,4,5
014a4afe87244310b05f57274f330ddd,0,21783,-0.02259131,1,6
014a4afe87244310b05f57274f330ddd,1,717,-0.05596924,6,6
01a7d01c014f406f87b8fe11976c3d0a,0,22343,-0.03162168,1,5
01a7d01c014f406f87b8fe11976c3d0a,1,157,0.05725365,0,0
01fbe6d2d7384d20967a88e4142b5678,0,21659,-0.02809201,1,6
01fbe6d2d7384d20967a88e4142b5678,1,841,-0.00200287,0,6
020fc9ab781a4afe885c7763321f26da,0,21831,-0.03994225,1,6
020fc9ab781a4afe885c7763321f26da,1,669,0.00623054,0,0
02c431d3d810472d9307d91e77fe495f,0,21893,-0.00793189,1,6
02c431d3d810472d9307d91e77fe495f,1,607,0.05112480,0,6
036ab7bb96424ba494dfc77c1ecfbf61,0,21286,-0.05495356,1,6
036ab7bb96424ba494dfc77c1ecfbf61,1,1214,-0.01434652,0,6
03a9cc3384ea4d25968a6e0afa4278bf,0,22236,-0.02310640,1,6
03a9cc3384ea4d25968a6e0afa4278bf,1,264,0.06149052,0,0
03c4ae55f4f747ea89deb0834aa0a125,0,21812,-0.03269806,1,5
03c4ae55f4f747ea89deb0834aa0a125,1,688,0.02713614,0,6
03e1fa4ec2664a34987dcc8c2898d94d,0,22031,-0.02664150,1,5
03e1fa4ec2664a34987dcc8c2898d94d,1,469,0.00730626,6,0
03e4d13ede7346b6a0f2d602e739795d,0,21180,-0.04714235,1,6
03e4d13ede7346b6a0f2d602e739795d,1,1320,-0.05102443,4,5
040a956bf0c04ad09fffc286cab5bc56,0,21637,0.01148144,1,6
040a956bf0c04ad09fffc286cab5bc56,1,863,0.00690747,5,6
04177e460bdd4b4f9001d8e82f5ca588,0,21488,-0.05287978,1,6
04177e460bdd4b4f9001d8e82f5ca588,1,1012,-0.06023887,0,6
045ecf94b83648229500b23058af3117,0,22370,-0.00744867,1,6
045ecf94b83648229500b23058af3117,1,130,0.07731763,0,0
0466f5710063461b92556fb2d6767980,0,21655,-0.03934851,1,6
0466f5710063461b92556fb2d6767980,1,845,0.05712698,0,0
04828388a55741479c3698cdf6aa2e6c,0,21737,-0.03291384,1,6
04828388a55741479c3698cdf6aa2e6c,1,763,-0.01882036,6,6
04917e6b60ad4cddad1c1f413f789db8,0,18958,-0.06836354,1,5
04917e6b60ad4cddad1c1f413f789db8,1,3542,-0.07515163,4,5
0497c0a2d98145029608177652f791a0,0,22353,-0.03217076,1,6
0497c0a2d98145029608177652f791a0,1,147,0.02451748,3,0
04b954deacb74b3a80c543526dc8f937,0,21700,-0.04418511,1,6
04b954deacb74b3a80c543526dc8f937,1,800,0.00480969,3,6
05527b6dcbb8472a85fa6b7999f63277,0,21919,-0.02718624,1,6
05527b6dcbb8472a85fa6b7999f63277,1,581,0.05653902,5,6
0645e15ddf57496faec8fb83a3068faa,0,21671,-0.02284320,1,6
0645e15ddf57496faec8fb83a3068faa,1,829,-0.02149307,6,6
069b2210186c49c383b08dfded66ff35,0,21509,-0.04362218,1,6
069b2210186c49c383b08dfded66ff35,1,991,0.01034817,6,6
072e60abec274513ac4749e8c3d579e5,0,21561,-0.04043588,1,6
072e60abec274513ac4749e8c3d579e5,1,939,0.04819915,0,6
073394e5ed044800b3e4d7e077716219,0,21739,-0.02662938,1,6
073394e5ed044800b3e4d7e077716219,1,761,0.00166669,0,0
0733caf02ebc44e7adf20c704821ea6b,0,20987,-0.04497099,1,6
0733caf02ebc44e7adf20c704821ea6b,1,1513,-0.04516334,4,5
0775bcc755c148ef831dffe278b1bb94,0,22035,-0.03881195,1,6
0775bcc755c148ef831dffe278b1bb94,1,465,0.01985628,0,5
0791e7e86b98473795eeffe238d6c13b,0,22333,-0.02677020,1,6
0791e7e86b98473795eeffe238d6c13b,1,167,0.06935391,5,0
07aa86866b04474491cb54589c61fd9f,0,21829,-0.03720794,1,6
07aa86866b04474491cb54589c61fd9f,1,671,-0.02325496,4,5
08b2887da76d459fa9dc69f4ae6f20f1,0,21819,-0.04700912,1,6
08b2887da76d459fa9dc69f4ae6f20f1,1,681,0.00961538,5,6
08babb6cc1d64bfbab2f2284d2076c56,0,21539,-0.01416965,1,5
08babb6cc1d64bfbab2f2284d2076c56,1,961,0.00797227,0,6
08d95280dd2f42d98a4a6e33dff8e815,0,21736,-0.03238213,1,5
08d95280dd2f42d98a4a6e33dff8e815,1,764,0.00002950,0,5
08dfcb4bd030497ea9c7d17d4bbba24b,0,22421,-0.01772368,1,6
08dfcb4bd030497ea9c7d17d4bbba24b,1,79,-0.02342541,3,6
08e76760a8c64a92a86686baf68f6aff,0,22392,-0.02635474,1,5
08e76760a8c64a92a86686baf68f6aff,1,108,-0.01980362,7,0
0924dd818c3e44eb9563984a253d51a6,0,21710,-0.02512987,1,6
0924dd818c3e44eb9563984a253d51a6,1,790,-0.05072912,6,0
096d7f5716974c86a19d4de3132dd58b,0,22162,-0.02523034,1,6
096d7f5716974c86a19d4de3132dd58b,1,338,0.05267714,0,0
098415a9e8b7401a8f30c1425ad612eb,0,20383,-0.05117271,1,6
098415a9e8b7401a8f30c1425ad612eb,1,2117,0.00026513,4,5
0a4c9338501444aebc937ec231dcde43,0,21382,-0.02548363,1,6
0a4c9338501444aebc937ec231dcde43,1,1118,-0.08163601,5,6
0abca7b8b2314d82b25444ce6f80bb4e,0,19771,-0.06367798,1,6
0abca7b8b2314d82b25444ce6f80bb4e,1,2729,-0.03511439,4,5
0adef8c999c6418d8c138df6a99b6282,0,22491,-0.04964115,1,5
0adef8c999c6418d8c138df6a99b6282,1,9,-0.05511731,7,5
0b717009572d49c98e83d737915aad57,0,21977,-0.01527498,1,6
0b717009572d49c98e83d737915aad57,1,523,-0.03190104,6,6
0b9c756ea50d4dfbaaec2eb32f1b4b49,0,21361,-0.05434923,1,6
0b9c756ea50d4dfbaaec2eb32f1b4b49,1,1139,-0.02422026,0,6
0c15e8d3127a4b88991c235095d800d2,0,21091,-0.04548217,1,6
0c15e8d3127a4b88991c235095d800d2,1,1409,0.06045525,5,6
0c35a9646b7b4c74af3699f46d6bed9a,0,22176,-0.03125000,1,6
0c35a9646b7b4c74af3699f46d6bed9a,1,324,0.05549377,5,6
0c3d17d2bed9470397407b4684cd4d75,0,21625,-0.03120291,1,6
0c3d17d2bed9470397407b4684cd4d75,1,875,0.06255351,4,6
0c43bcd9eafa4b8c89c371cb311bf938,0,20937,-0.03968853,1,6
0c43bcd9eafa4b8c89c371cb311bf938,1,1563,-0.01746669,5,6
0c7b5c0f1eb84fe28c2d50649809b448,0,21510,-0.04023475,1,6
0c7b5c0f1eb84fe28c2d50649809b448,1,990,0.05926614,0,0
0c81f97d9c334f5194bcb9b886d3163b,0,19348,-0.06703232,1,6
0c81f97d9c334f5194bcb9b886d3163b,1,3152,-0.07114163,4,5
0c97832dafd24fce9a0e4935664dc824,0,22329,-0.01471156,1,6
0c97832dafd24fce9a0e4935664dc824,1,171,-0.04896362,7,6
0de334215b084bba8e4ef079e6262725,0,21791,-0.03023649,1,6
0de334215b084bba8e4ef079e6262725,1,709,0.01768159,5,6
0e6728061166469695094adf2df3ece0,0,22163,-0.03305395,1,6
0e6728061166469695094adf2df3ece0,1,337,0.03698586,5,6
0e6efc712c9e47ac95d5dd133007c3c9,0,21592,-0.04257426,1,6
0e6efc712c9e47ac95d5dd133007c3c9,1,908,-0.08643196,6,6
0e8e2f64b807428ca4ed5bc33c996389,0,21619,-0.04027310,1,6
0e8e2f64b807428ca4ed5bc33c996389,1,881,0.08091463,0,6
